PERMNO,date,TICKER,PRC
59328,20170130,INTC,37.42000
59328,20170131,INTC,36.82000
59328,20170201,INTC,36.52000
59328,20170202,INTC,36.68000
59328,20170203,INTC,36.52000
59328,20170206,INTC,36.27000
59328,20170207,INTC,36.35000
59328,20170208,INTC,36.38000
59328,20170209,INTC,35.46000
59328,20170210,INTC,35.34000
59328,20170213,INTC,35.80000
59328,20170214,INTC,35.93000
59328,20170215,INTC,36.05000
59328,20170216,INTC,36.41000
59328,20170217,INTC,36.48000
59328,20170221,INTC,36.52000
59328,20170222,INTC,36.07000
59328,20170223,INTC,36.18000
59328,20170224,INTC,36.53000
59328,20170227,INTC,36.51000
59328,20170228,INTC,36.20000
59328,20170301,INTC,35.93000
59328,20170302,INTC,35.91000
59328,20170303,INTC,35.90000
59328,20170306,INTC,35.57000
59328,20170307,INTC,35.80000
59328,20170308,INTC,35.62000
59328,20170309,INTC,35.82000
59328,20170310,INTC,35.91000
59328,20170313,INTC,35.16000
59328,20170314,INTC,35.18000
59328,20170315,INTC,35.10000
59328,20170316,INTC,35.14000
59328,20170317,INTC,35.27000
59328,20170320,INTC,35.43000
59328,20170321,INTC,35.04000
59328,20170322,INTC,35.37000
59328,20170323,INTC,35.27000
59328,20170324,INTC,35.16000
59328,20170327,INTC,35.39000
59328,20170328,INTC,35.60000
59328,20170329,INTC,35.57000
59328,20170330,INTC,35.75000
59328,20170331,INTC,36.07000
59328,20170403,INTC,36.16000
59328,20170404,INTC,36.28000
59328,20170405,INTC,36.22000
59328,20170406,INTC,36.03000
59328,20170407,INTC,36.03000
59328,20170410,INTC,35.80000
59328,20170411,INTC,35.74000
59328,20170412,INTC,35.63000
59328,20170413,INTC,35.25000
59328,20170417,INTC,35.48000
59328,20170418,INTC,35.76500
59328,20170419,INTC,35.91000
59328,20170420,INTC,36.18000
59328,20170421,INTC,36.32000
59328,20170424,INTC,36.75000
59328,20170425,INTC,36.87000
59328,20170426,INTC,36.93000
59328,20170427,INTC,37.43000
59328,20170428,INTC,36.15000
59328,20170501,INTC,36.31000
